train/ent_coef_loss,eval/mean_ep_length,eval/mean_quat_reward,train/ent_coef,train/n_updates,eval/mean_bonus_reward,eval/mean_reward,train/learning_rate,eval/mean_pos_reward,train/critic_loss,eval/success_rate,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate
-0.2319941520690918,50.0,34.758503060008685,0.004356319550424814,24899,0.0,27.267201004698872,0.0003,37.15515044059537,0.012103932909667492,0.0,25000,-58.4627571105957,,,,,,
,,,,,,,,,,,25000,,27.832880980000006,615,40,500,50.0,0.0
-1.682623028755188,50.0,36.064112837833946,0.003312555607408285,49899,0.0,28.901716907471418,0.0003,39.77137739469585,0.014419864863157272,0.0,50000,-61.11686706542969,,,,,,
,,,,,,,,,,,50000,,29.69064346,1230,40,1000,50.0,0.0
-0.30656927824020386,50.0,37.81070426556938,0.0029366191010922194,74899,0.0,30.68600509420037,0.0003,42.46665804122491,0.010522421449422836,0.0,75000,-61.985687255859375,,,,,,
,,,,,,,,,,,75000,,29.735288890000003,1847,40,1500,50.0,0.0
1.359635829925537,50.0,38.74037855411136,0.002621321938931942,99899,0.0,30.83738313615322,0.0003,42.30457701458491,0.010397179052233696,0.0,100000,-63.485252380371094,,,,,,
,,,,,,,,,,,100000,,30.808567080000003,2463,40,2000,50.0,0.0
5.226563453674316,50.0,38.95730184500375,0.002463674871250987,124899,0.0,30.794827465415,0.0003,42.11100402381277,0.008258096873760223,0.0,125000,-64.04737854003906,,,,,,
,,,,,,,,,,,125000,,31.530803019999997,3080,40,2500,50.0,0.0
0.4882105588912964,50.0,41.03547111055075,0.0022350274957716465,149899,0.0,31.907181665301323,0.0003,43.296627762637236,0.009793886914849281,0.0,150000,-64.70477294921875,,,,,,
,,,,,,,,,,,150000,,31.32262483,3696,40,3000,50.0,0.0
1.9400553703308105,50.0,41.12627880015875,0.0020813136361539364,174899,0.02,32.28019756540656,0.0003,43.98725575224265,0.010419957339763641,0.01,175000,-65.28497314453125,,,,,,
,,,,,,,,,,,175000,,32.139142750000005,4312,40,3500,50.0,0.0
-1.3433001041412354,50.0,41.85891150808668,0.0020883381366729736,199899,0.0,32.784387740939856,0.0003,44.63931972183398,0.00907803513109684,0.0,200000,-65.67884826660156,,,,,,
,,,,,,,,,,,200000,,32.33168272,4929,40,4000,50.0,0.0
-3.69712495803833,50.0,41.5267262509116,0.0019722147844731808,224899,0.0,32.55745325684548,0.0003,44.3515433918308,0.009258784353733063,0.0,225000,-66.14677429199219,,,,,,
,,,,,,,,,,,225000,,32.560381189999994,5546,40,4500,50.0,0.0
-0.7674252986907959,50.0,42.54541594955972,0.001948569668456912,249899,0.0,32.8298809710145,0.0003,44.38705394466131,0.008301625028252602,0.0,250000,-66.56690979003906,,,,,,
,,,,,,,,,,,250000,,32.488596300000005,6163,40,5000,50.0,0.0
-1.1031489372253418,50.0,42.18568822486976,0.00196990929543972,274899,0.0,32.979411594867706,0.0003,44.86597908063602,0.0067154220305383205,0.0,275000,-67.05258178710938,,,,,,
,,,,,,,,,,,275000,,33.456119310000005,6779,40,5500,50.0,0.0
-2.850205421447754,50.0,42.12806615404851,0.0018680017674341798,299899,0.43,33.28589779630303,0.0003,45.292762505578075,0.008791768923401833,0.01,300000,-67.72425842285156,,,,,,
,,,,,,,,,,,300000,,33.351460519999996,7395,40,6000,50.0,0.0
-0.13145720958709717,50.0,42.51207262280903,0.001744031673297286,324899,0.0,33.626763739585876,0.0003,45.99749116868098,0.0072448463179171085,0.0,325000,-67.91015625,,,,,,
,,,,,,,,,,,325000,,33.398169190000004,8010,40,6500,50.0,0.0
-0.16327553987503052,50.0,42.511375532972345,0.0017407307168468833,349899,0.02,33.56753424093127,0.0003,45.86938067316012,0.007253514602780342,0.0,350000,-68.04037475585938,,,,,,
,,,,,,,,,,,350000,,34.03273742,8626,40,7000,50.0,0.0
-0.41116130352020264,50.0,42.61146712809556,0.0016793692484498024,374899,0.0,33.57982719555497,0.0003,45.8539208967742,0.012454837560653687,0.0,375000,-68.43896484375,,,,,,
,,,,,,,,,,,375000,,33.61954267000001,9242,40,7500,50.0,0.0
0.3616861402988434,50.0,43.41319636703871,0.0016975024482235312,399899,0.0,33.90103888526559,0.0003,46.09547956709933,0.006869192235171795,0.0,400000,-68.65452575683594,,,,,,
,,,,,,,,,,,400000,,34.028441980000004,9855,40,8000,50.0,0.01
0.25637519359588623,50.0,43.580400338799166,0.0016624447889626026,424899,0.15,34.094871109128,0.0003,46.32454206429134,0.005338588263839483,0.01,425000,-69.11737060546875,,,,,,
